C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Datasets\ready for OOTO\preprocessed\national_12to14_preprocessed.csv,C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Datasets\ready for OOTO\preprocessed\national_15to17_preprocessed.csv,,,
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom
Mother,a3a,3.581047139,+,1
Father,a3b,1.022507551,+,1
Step or foster mother,a3c,0.802946189,-,1
Step or foster father,a3d,0.006490135,-,1
Grandparent(s) or other relatives,a3e,0.794553389,+,1
Siblings (including half; step or foster siblings),a3f,2.80870151,+,1
My spouse or partner (including boyfriend/girlfriend),a3g,2.458435322,-,1
My child or children,a3h,0.214789881,+,1
Parents (or relatives) of my spouse or partner,a3i,0.18223418,+,1
I live in a foster home or children's home,a3j,,,1
I live alone,a3k,,,1
Someone or somewhere else: please state____,a3l,0.097773664,+,1
I am a school student,a4a,8.130748831,+,1
I am a student in college,a4g,6.976599717,-,1
I am attending training in technical/vocational course,a4h,5.648245818,-,1
I do paid employment,a4c,2.399920576,-,1
I do unpaid work,a4d,0.082822054,-,1
I am looking for work,a4e,8.450787155,-,1
I help out at home,a4f,0.153554187,-,1
I am currently in a vacation,a4i,1.401911446,+,1
Schooling,a5,,,1
null,b1,236.6096191,+,14
Age,b3,14.82563622,-,1
At school or college,b6a,17.44297241,-,1
At home,b6b,8.105759186,-,1
In the home of friends or relatives,b6c,3.205226091,-,1
In a public place (for example; in libraries; cafés; computer shops),b6d,0.008925781,+,1
When I am on my way somewhere (e.g. on the street; in a bus or car),b6e,1.782573317,-,1
When I am somewhere by myself,b6f,22.58216261,-,1
PisoNet,b6g,1.214639309,+,1
A mobile phone that is not a smartphone,b7a,11.00207558,-,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b7b,22.47575072,-,1
A desktop computer,b7c,0.718210123,-,1
A laptop or notebook computer,b7d,0.028180625,-,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b7e,0.192290547,-,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b7f,0.037850429,+,1
A mobile phone that is not a smartphone,b8a,2.578654022,-,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b8b,5.512968171,-,1
A desktop computer,b8c,2.696248593,-,1
A laptop or notebook computer,b8d,0.033102144,-,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b8e,0.182353429,-,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b8f,0.527826521,+,1
I use a postpaid plan (i.e.; with contracts),b9a,1.396323643,-,1
