Dataset 1,Dataset 2,,,,,,,,,,,
C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\15to17_p.csv,C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\9to11_p.csv,,,,,,,,,,,
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom,N1,N2,P1(a),P1(b),P1(etc),P2(a),P2(b),P2(etc)
Gender,a1,2.057135271,+,1,[640.0],[586.0],0.44375,0.55625,0,0.484641638,0.515358362,0
Mother,a3a,1.891595505,-,1,[627.0],[571.0],0.180223285,0.819776715,0,0.15061296,0.84938704,0
Father,a3b,1.05693109,-,1,[627.0],[571.0],0.244019139,0.755980861,0,0.218914186,0.781085814,0
Step or foster mother,a3c,0.399603248,-,1,[627.0],[570.0],0.976076555,0.023923445,0,0.970175439,0.029824561,0
Step or foster father,a3d,0.677443758,+,1,[627.0],[570.0],0.977671451,0.022328549,0,0.984210526,0.015789474,0
Grandparent(s) or other relatives,a3e,6.154331603,-,1,[627.0],[570.0],0.722488038,0.277511962,0,0.656140351,0.343859649,0
Siblings (including half; step or foster siblings),a3f,0.506688449,-,1,[627.0],[571.0],0.307814992,0.692185008,0,0.288966725,0.711033275,0
My spouse or partner (including boyfriend/girlfriend),a3g,4.645486848,+,1,[627.0],[570.0],0.980861244,0.019138756,0,0.994736842,0.005263158,0
My child or children,a3h,0.003100233,-,1,[627.0],[570.0],0.977671451,0.022328549,0,0.977192982,0.022807018,0
Parents (or relatives) of my spouse or partner,a3i,0.20651998,-,1,[627.0],[570.0],0.974481659,0.025518341,0,0.970175439,0.029824561,0
I live in a foster home or children's home,a3j,,,1,[627.0],[570.0],0.998405104,0.001594896,0,0.998245614,0.001754386,0
Someone or somewhere else: please state____,a3l,1.428060129,-,1,[627.0],[570.0],0.961722488,0.038277512,0,0.947368421,0.052631579,0
I am a school student,a4a,40.63646748,-,1,[634.0],[577.0],0.093059937,0.906940063,0,0.010398614,0.989601386,0
I am a student in college,a4g,12.03265,+,1,[634.0],[576.0],0.974763407,0.025236593,0,0.998263889,0.001736111,0
I am attending training in technical/vocational course,a4h,7.011111628,+,1,[634.0],[576.0],0.976340694,0.023659306,0,0.994791667,0.005208333,0
I do paid employment,a4c,12.42407885,+,1,[634.0],[576.0],0.970031546,0.029968454,0,0.996527778,0.003472222,0
I do unpaid work,a4d,1.239978037,+,1,[634.0],[576.0],0.984227129,0.015772871,0,0.991319444,0.008680556,0
I am looking for work,a4e,5.411917684,+,1,[634.0],[576.0],0.979495268,0.020504732,0,0.994791667,0.005208333,0
I help out at home,a4f,29.32991384,+,1,[634.0],[576.0],0.651419558,0.348580442,0,0.791666667,0.208333333,0
I am currently in a vacation,a4i,3.933853589,+,1,[634.0],[577.0],0.886435331,0.113564669,0,0.920277296,0.079722704,0
Schooling,a5,,,3,[627.0],[576.0],0.007974482,0.988835726,0.003189793,0.005208333,0.993055556,0.001736111
How old were you when you first used the internet?,b1,25.5632529,-,1,[632.0],[565.0],0.901898734,0.098101266,0,0.798230088,0.201769912,0
Are you able to access the internet when you want to or need to?,b3,25.84272521,+,1,[630.0],[566.0],0.052380952,0.947619048,0,0.137809187,0.862190813,0
At school or college,b6a,99.81839198,+,2,[627.0],[560.0],0.594896332,0.398724083,0.006379585,0.848214286,0.139285714,0.0125
At home,b6b,,,2,[625.0],[561.0],0.4128,0.5792,0.008,0.59714795,0.395721925,0.007130125
In the home of friends or relatives,b6c,,,2,[625.0],[559.0],0.6688,0.3312,0,0.803220036,0.193202147,0.003577818
In a public place (for example; in libraries; cafés; computer shops),b6d,,,2,[623.0],[555.0],0.64847512,0.343499197,0.008025682,0.668468468,0.324324324,0.007207207
When I am on my way somewhere (e.g. on the street; in a bus or car),b6e,,,2,[619.0],[549.0],0.823909532,0.172859451,0.003231018,0.928961749,0.06557377,0.005464481
When I am somewhere by myself,b6f,,,2,[621.0],[554.0],0.560386473,0.431561997,0.00805153,0.799638989,0.194945848,0.005415162
PisoNet,b6g,5.544810568,-,2,[619.0],[551.0],0.707592892,0.281098546,0.011308562,0.649727768,0.343012704,0.007259528
A mobile phone that is not a smartphone,b7a,,,2,[616.0],[555.0],0.680194805,0.314935065,0.00487013,0.81981982,0.176576577,0.003603604
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b7b,,,2,[617.0],[556.0],0.413290113,0.58184765,0.004862237,0.667266187,0.330935252,0.001798561
A desktop computer,b7c,,,2,[623.0],[554.0],0.664526485,0.325842697,0.009630819,0.684115523,0.312274368,0.003610108
A laptop or notebook computer,b7d,14.92393103,+,2,[620.0],[554.0],0.783870968,0.2,0.016129032,0.864620939,0.131768953,0.003610108
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b7e,,,2,[617.0],[555.0],0.77471637,0.218800648,0.006482982,0.801801802,0.196396396,0.001801802
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b7f,2.674867555,+,2,[607.0],[545.0],0.861614498,0.125205931,0.013179572,0.886238532,0.108256881,0.005504587
A mobile phone that is not a smartphone,b8a,,,2,[194.0],[101.0],0.324742268,0.664948454,0.010309278,0.534653465,0.445544554,0.01980198
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b8b,,,2,[355.0],[187.0],0.194366197,0.8,0.005633803,0.486631016,0.50802139,0.005347594
A desktop computer,b8c,,,2,[202.0],[174.0],0.648514851,0.336633663,0.014851485,0.75862069,0.235632184,0.005747126
A laptop or notebook computer,b8d,,,2,[123.0],[75.0],0.520325203,0.447154472,0.032520325,0.546666667,0.44,0.013333333
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b8e,,,2,[133.0],[114.0],0.473684211,0.518796992,0.007518797,0.49122807,0.473684211,0.035087719
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b8f,,,2,[75.0],[61.0],0.64,0.306666667,0.053333333,0.573770492,0.360655738,0.06557377
I use a postpaid plan (i.e.; with contracts),b9a,1.230311922,+,2,[615.0],[551.0],0.803252033,0.162601626,0.034146341,0.827586207,0.139745917,0.032667877
I use freeWIFI (at home; in school; coffee shop or cafés; malls; etc.),b9b,46.03478542,+,2,[622.0],[556.0],0.432475884,0.557877814,0.009646302,0.629496403,0.361510791,0.008992806
