Dataset 1,Dataset 2,,,,,,,,,,,
C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\9to11_p.csv,C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\12to14_p.csv,,,,,,,,,,,
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom,N1,N2,P1(a),P1(b),P1(etc),P2(a),P2(b),P2(etc)
Gender,a1,2.256372132,-,1,[586.0],[656.0],0.484641638,0.515358362,0,0.442073171,0.557926829,0
Mother,a3a,0.163136062,-,1,[571.0],[646.0],0.15061296,0.84938704,0,0.142414861,0.857585139,0
Father,a3b,0.010577827,+,1,[571.0],[646.0],0.218914186,0.781085814,0,0.221362229,0.778637771,0
Step or foster mother,a3c,2.869970127,+,1,[570.0],[646.0],0.970175439,0.029824561,0,0.984520124,0.015479876,0
Step or foster father,a3d,1.212216328,-,1,[570.0],[646.0],0.984210526,0.015789474,0,0.975232198,0.024767802,0
Grandparent(s) or other relatives,a3e,3.241616693,+,1,[570.0],[646.0],0.656140351,0.343859649,0,0.704334365,0.295665635,0
Siblings (including half; step or foster siblings),a3f,0.269884331,-,1,[571.0],[646.0],0.288966725,0.711033275,0,0.275541796,0.724458204,0
My spouse or partner (including boyfriend/girlfriend),a3g,,,1,[570.0],[646.0],0.994736842,0.005263158,0,0.992260062,0.007739938,0
My child or children,a3h,0.002293712,-,1,[570.0],[646.0],0.977192982,0.022807018,0,0.976780186,0.023219814,0
Parents (or relatives) of my spouse or partner,a3i,0.001796093,+,1,[570.0],[646.0],0.970175439,0.029824561,0,0.970588235,0.029411765,0
I live in a foster home or children's home,a3j,,,1,[570.0],[646.0],0.998245614,0.001754386,0,0.998452012,0.001547988,0
I live alone,a3k,,,1,[570.0],[646.0],1,0,0,0.996904025,0.003095975,0
Someone or somewhere else: please state____,a3l,0.795817896,+,1,[570.0],[646.0],0.947368421,0.052631579,0,0.958204334,0.041795666,0
I am a school student,a4a,12.91419922,+,1,[577.0],[650.0],0.010398614,0.989601386,0,0.044615385,0.955384615,0
I am a student in college,a4g,,,1,[576.0],[648.0],0.998263889,0.001736111,0,0.992283951,0.007716049,0
I am attending training in technical/vocational course,a4h,,,1,[576.0],[648.0],0.994791667,0.005208333,0,0.990740741,0.009259259,0
I do paid employment,a4c,5.291240551,-,1,[576.0],[648.0],0.996527778,0.003472222,0,0.983024691,0.016975309,0
I do unpaid work,a4d,0.731582054,-,1,[576.0],[648.0],0.991319444,0.008680556,0,0.986111111,0.013888889,0
I am looking for work,a4e,,,1,[576.0],[648.0],0.994791667,0.005208333,0,0.99691358,0.00308642,0
I help out at home,a4f,23.38095798,-,1,[576.0],[648.0],0.791666667,0.208333333,0,0.668209877,0.331790123,0
I am currently in a vacation,a4i,9.379680378,-,1,[577.0],[648.0],0.920277296,0.079722704,0,0.865740741,0.134259259,0
How old were you when you first used the internet?,b1,2.92644738,-,1,[565.0],[638.0],0.798230088,0.201769912,0,0.757053292,0.242946708,0
Are you able to access the internet when you want to or need to?,b3,9.790217702,-,1,[566.0],[647.0],0.137809187,0.862190813,0,0.081916538,0.918083462,0
At school or college,b6a,36.3957141,-,2,[560.0],[636.0],0.848214286,0.139285714,0.0125,0.70754717,0.283018868,0.009433962
At home,b6b,,,2,[561.0],[637.0],0.59714795,0.395721925,0.007130125,0.497645212,0.494505495,0.007849294
In the home of friends or relatives,b6c,,,2,[559.0],[637.0],0.803220036,0.193202147,0.003577818,0.708006279,0.287284144,0.004709576
In a public place (for example; in libraries; cafés; computer shops),b6d,,,2,[555.0],[638.0],0.668468468,0.324324324,0.007207207,0.659874608,0.335423197,0.004702194
When I am on my way somewhere (e.g. on the street; in a bus or car),b6e,18.36309223,-,2,[549.0],[633.0],0.928961749,0.06557377,0.005464481,0.849921011,0.135860979,0.014218009
When I am somewhere by myself,b6f,15.29383701,-,2,[554.0],[633.0],0.799638989,0.194945848,0.005415162,0.701421801,0.287519747,0.011058452
PisoNet,b6g,,,2,[551.0],[636.0],0.649727768,0.343012704,0.007259528,0.688679245,0.305031447,0.006289308
A mobile phone that is not a smartphone,b7a,,,2,[555.0],[629.0],0.81981982,0.176576577,0.003603604,0.763116057,0.227344992,0.009538951
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b7b,,,2,[556.0],[632.0],0.667266187,0.330935252,0.001798561,0.549050633,0.444620253,0.006329114
A desktop computer,b7c,,,2,[554.0],[633.0],0.684115523,0.312274368,0.003610108,0.696682464,0.298578199,0.004739336
A laptop or notebook computer,b7d,,,2,[554.0],[633.0],0.864620939,0.131768953,0.003610108,0.799368088,0.192733017,0.007898894
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b7e,,,2,[555.0],[632.0],0.801801802,0.196396396,0.001801802,0.787974684,0.205696203,0.006329114
