Question,Feature,Chi,Higher Or Lower,Degrees of Freedom
Mother,a3a,0.38733393290841284,-,1
Father,a3b,1.2099000426814994,-,1
Step or foster mother,a3c,0.42904019169611851,-,1
Step or foster father,a3d,0.47754765976312624,-,1
Grandparent(s) or other relatives,a3e,0.2896736584540695,-,1
Siblings (including half; step or foster siblings),a3f,0.35636011651102029,+,1
My spouse or partner (including boyfriend/girlfriend),a3g,0.14152625618629908,-,1
My child or children,a3h,0.12001443649419681,+,1
Parents (or relatives) of my spouse or partner,a3i,0.012942833339945231,+,1
I live in a foster home or children's home,a3j,0.047012463914504643,-,1
I live alone,a3k,0.094187600714526615,-,1
Someone or somewhere else: please state____,a3l,2.6789136994833189,+,1
I am a school student,a4a,1.0093724608378527,+,1
I am a student in college,a4g,0.18732738262018173,-,1
I am attending training in technical/vocational course,a4h,1.6156784191104621,+,1
I do paid employment,a4c,0.47320525783619816,-,1
I do unpaid work,a4d,0.37725202531135382,-,1
I am looking for work,a4e,0.093342375044876122,-,1
I help out at home,a4f,11.000666991715255,-,1
I am currently in a vacation,a4i,2.1728847588141593,-,1
Schooling,a5,0.094017333395571723,+,1
null,b1,,,15
Age,b3,0.10380967926428333,+,1
At school or college,b6a,0.0096975093280535721,-,1
At home,b6b,0.68955008516423699,-,1
In the home of friends or relatives,b6c,0.74559943313700816,-,1
In a public place (for example; in libraries; cafés; computer shops),b6d,0.0050237339382952877,+,1
When I am on my way somewhere (e.g. on the street; in a bus or car),b6e,0.70499889401258842,+,1
When I am somewhere by myself,b6f,0.094408032331479402,-,1
PisoNet,b6g,0.038063106342093839,+,1
A mobile phone that is not a smartphone,b7a,1.6609998886200019,+,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b7b,0.13194458110722687,-,1
A desktop computer,b7c,4.3253440771888103,-,1
A laptop or notebook computer,b7d,0.07224586493228842,-,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b7e,0.030717417399713075,+,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b7f,0.075221714549850605,+,1
A mobile phone that is not a smartphone,b8a,2.0869707081942899,-,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b8b,0.0010098420762353023,+,1
A desktop computer,b8c,1.5663340724316339,+,1
A laptop or notebook computer,b8d,0.92122916182957992,-,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b8e,0.091595578962984842,+,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b8f,1.3575387407510817,+,1
I use a postpaid plan (i.e.; with contracts),b9a,0.77912217188469102,-,1
I use freeWIFI (at home; in school; coffee shop or cafés; malls; etc.),b9b,0.081565385847386596,-,1
I pay for internet I use (e.g. in a cybercafé or internet cafe; PisoNet),b9c,1.6775676333765299,+,1
I use prepaid offers (e.g. GOSurf; GIGASurf; etc.),b9d,0.00049723162930711455,+,1
null,b10a,0.86060460031948161,-,1
My parents,b10b1,0.23484314986731025,+,1
My siblings,b10b2,0.0041832943442961503,-,1
Relatives,b10b3,2.4917006328951428,+,1
Friends who are the same age as I am,b10c1,0.41190620349886931,-,1
Friends who are older than me,b10c2,0.41598368899286259,-,1
My teacher,b10d,0.43876380628717082,-,1
Others,b10e,0.021463288844434728,-,1
Hours,b11,11.956598651618695,,11
Hours,b12,13.242159879340315,,11
null,c1,1.0075914214512225,+,1
null,c2,0.68907292520839292,-,1
I learned something new by searching online,c4a,1.2842337406974407,-,1
I used the internet for schoolwork,c4c,0.27487649836185535,-,1
I looked for information about work or study opportunities,c4b,0.00012894487778007584,-,1
Checked maps,c4c1,1.135745101088308,+,1
I looked for information about the place I want to go visit/eat,c4c2,2.6155269799984167,-,1
I looked for resources or events about my local neighbourhood,c4d,0.80865545810512651,+,1
I got involved online in a local organisation or charity,c4f,0.34259434493596458,-,1
I used the internet to help somebody else,c4g,0.10671027805663776,-,1
I used the internet to talk to people from places or backgrounds different from mine,c4e,2.855944347514352,-,1
I looked for the news online,c4h,1.3479970980230389,-,1
I discussed political or social problems with other people online,c4i,0.48150362114942574,-,1
I got involved online in a campaign or protest,c4j,1.0391148306854567,-,1
I signed a petition online,c4k,0.8873949579831929,-,1
I used the internet to join a civic; religious or political group,c4l,0.05210847041322017,-,1
I posted videos or music created by someone else,c4o,1.1130145671460601,-,1
I created my own video or music and uploaded it to share,c4m,0.10392932459592592,-,1
I created a blog or story or website online,c4n,1.018241197431949,-,1
I created my own artwork; designs and illustrations and uploaded them on the internet,c4o1,0.26557121504465869,-,1
I used instant messaging [insert local examples e.g. Viber; WhatsApp],c4r,2.4063409752777418,-,1
I visited a social network site (e.g.; Facebook [add local examples]),c4p,1.7035301081950645,-,1
I helped someone else who needed or wanted to go online,c4t,1.8399072017622735,-,1
I talked to family or friends who live further away (e.g. by Skype; Viber; FaceTime),c4q,1.4819283510475547,-,1
I commented on the updates that friends or family have put online,c4u,0.01010507681763847,-,1
I re-posted or shared a social media post online,c4t1,2.8714412306224548,-,1
I showed my friends or family something that I saw online,c4v,0.73197433799164713,-,1
I visited a chatroom to meet new people [insert local examples],c4w,3.503867821921324,-,1
I watched video clips (e.g. on YouTube [insert local examples]),c4x,1.4118926259008044,-,1
I played online games alone,c4y,0.048117900774673622,+,1
I played games with other people online,c4z,1.2169213971587935,+,1
I listened to music online (by downloading or streaming),c4bb,1.0744541696367635,-,1
I watched my favourite TV shows,c4cc,5.4881020851295723,+,1
I joined a fan site (of a celebrity or popular band),c4cc1,0.7545825354049529,-,1
I posted photos or comments online (e.g. on Facebook or a blog),c4gg,2.607786580444539,-,1
I looked for health information for myself or someone I know,c4ee,1.778612029871417,+,1
I participated in a site where people share my interests or hobbies,c4ff,0.92609628519298681,-,1
I browsed for things to buy,c4hh,1.6577413471829421,-,1
I checked out what things cost by looking online,c4hh1,1.2187500000000002,-,1
I have sold an item online,c4hh2,1.1461832061068702,-,1
My mother or father (or step/foster mother or father),c6a,4.4838353418560075,-,1
My brother or sister (or step/foster/half siblings),c6b,2.7128650077193335,-,1
A friend around my age,c6c,2.6434800525286986,-,1
A teacher,c6d,0.015542679410175423,+,1
Another adult I trust,c6e,0.39068189670516051,-,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c6f,0.054719562243501989,+,1
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c6g,0.023207970793993737,-,1
A relative or friend who is an OFW (overseas Filipino worker),c6g1,0.10785239963047447,+,1
Someone else,c6h,2.6839935145534661,-,1
My mother or father (or step/foster mother or father),c7a,0.2981505449079781,-,1
My brother or sister (or step/foster/half siblings),c7b,0.0040675995443040496,-,1
A friend around my age,c7c,0.86789728495119844,-,1
A teacher,c7d,0.076955365886187066,+,1
Another adult I trust,c7e,2.3994530154925977,-,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c7f,0.0088549364573392367,-,1
