Question,Feature,Chi,Higher Or Lower,Degrees of Freedom
null,b1,21.17416959,,15
I finish the work I'm doing. My attention is good,a20l,20.62469093,+,1
I know how to behave according to the situation online,e1o,16.03763187,+,1
Hours,b12,15.09804057,,11
I know when I should and shouldn't share information online,e1n,14.41329667,+,1
Hours,b11,13.95921244,,11
I help out at home,a4f,13.36668273,-,1
I watched my favourite TV shows,c4cc,12.61276585,+,1
I have at least one good friend,a20s,12.11874288,+,1
I know how to make an in-app purchase,e1x,11.97919065,+,1
I know how to download and carck to full version some paid apps without paying a fee (e.g. torrent; etc.),e1x1,11.92571696,+,1
Twitter,d14f,11.26254735,,5
I think before I do things,a20o,10.71746999,+,1
League of Legends,d15d,9.970851637,+,1
Facebook/Messenger,d14a,9.432665318,,5
I know which information I should and shouldn't share online,e1l,9.274739709,+,1
I am helpful if someone is hurt; upset or feeling ill,a20u,8.377405492,+,1
WeChat,d14d,8.287822924,,5
Minecraft,d15a,7.819854361,+,1
I can stay calm when things get difficult because I am good at coping,a26g,7.753283828,+,1
My mother or father (or step/foster mother or father),c8a,7.578179301,-,1
null,d12,7.572069894,+,1
Explained why some websites are good or bad,j5f,7.548310502,+,1
I am currently in a vacation,a4i,7.119474902,-,1
Others,d15f,6.947008233,-,1
By popups on the internet (unrequested windows that appear during web surfing),f32j,6.9328125,+,1
I feel safe on the internet,d2a,6.881625672,-,1
My friends really try to help me,k1a,6.800976788,+,1
null,f45f,6.797050949,+,1
I know how to safeguard my online expenses while using mobile apps,e1w,6.565741173,+,1
null,i7d,6.025379179,+,1
Instagram,d14e,5.98945412,,5
My mother or father (or step/foster mother or father),c6a,5.903846348,-,1
Sometimes I end up on websites without knowing how I got there,e1k,5.811282186,+,1
An image or video that shows sexual acts or people having sex,f33c,5.555786879,+,1
I get very angry and often lose my temper,a20a,5.528139411,+,1
It's easy for me to stick to my aims and achieve my goals,a26c,5.382024477,+,1
Other adult you trust e.g. coach; neighbour; doctor; or babysitter,g9j,5.344400957,+,1
Other children are treated better than me,a21a,5.340567703,+,1
I am confident that I can deal with unexpected problems,a26d,5.27283382,+,1
I try to be nice to other people. I care about their feelings,a20v,5.201896966,+,1
My brother or sister (or step/foster/half siblings),c6b,5.072194057,-,1
I know how to set the firewall,e1f5,5.027693616,-,1
Seek to get acquainted or befriend persons who are Non-Filipinos (foreigners),f1i,4.994720159,-,1
Teacher/ educator,g9h,4.865315791,+,1
null,f23,4.594419314,-,1
My brother or sister (or step/foster/half siblings),c8b,4.499239044,-,1
I visited a chatroom to meet new people [insert local examples],c4w,4.4614464,-,1
People seem to think they’re better than me,a21c,4.436534721,-,1
A relative or friend who is an OFW (overseas Filipino worker),c8g1,4.433256079,-,1
Talks to me about what I do on the internet,i4c,4.42417238,-,1
Compare similar apps to choose the one that is most reliable,e3i,4.409198464,+,1
On a social networking site (e.g. Facebook; Twitter etc.),f21c,4.39083558,+,1
I looked for resources or events about my local neighbourhood,c4d,4.31801976,+,1
Encourages me to explore and learn things on the internet,i4a,4.184037017,-,1
Viber,d14c,4.183084191,,5
