Question,Feature,Chi,Higher Or Lower,Degrees of Freedom
Mother,a3a,0.13159581646423762,,1
Father,a3b,1.0728807707999874,,1
Step or foster mother,a3c,3.5222672064777329,,1
Step or foster father,a3d,,,1
Grandparent(s) or other relatives,a3e,0.087008386350491573,,1
Siblings (including half; step or foster siblings),a3f,0.48164956218811816,,1
My spouse or partner (including boyfriend/girlfriend),a3g,,,1
My child or children,a3h,1.2523616734143048,,1
Parents (or relatives) of my spouse or partner,a3i,1.3942307692307692,,1
I live in a foster home or children's home,a3j,,,1
I live alone,a3k,,,1
Someone or somewhere else: please state____,a3l,0.92497145229938726,,1
I am a school student,a4a,,,1
I am a student in college,a4g,,,1
I am attending training in technical/vocational course,a4h,1.2911140583554377,,1
I do paid employment,a4c,,,1
I do unpaid work,a4d,,,1
I am looking for work,a4e,,,1
I help out at home,a4f,10.005952116131411,,1
I am currently in a vacation,a4i,1.2911140583554377,,1
Schooling,a5,,,1
null,b1,,,15
Age,b3,1.6781736781736785,,1
At school or college,b6a,1.5178124201380019,,1
At home,b6b,0.91855203619909531,,1
In the home of friends or relatives,b6c,0.89219576719576743,,1
In a public place (for example; in libraries; cafés; computer shops),b6d,0.91070033927176741,,1
When I am on my way somewhere (e.g. on the street; in a bus or car),b6e,0.16199633699633709,,1
When I am somewhere by myself,b6f,2.8028320885463751,,1
PisoNet,b6g,1.1232532899199568,,1
A mobile phone that is not a smartphone,b7a,1.3259534583063994,,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b7b,0.17172282513897424,,1
A desktop computer,b7c,14.320532099479466,,1
A laptop or notebook computer,b7d,1.2761416361416362,,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b7e,0.51256194785606546,,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b7f,0.11315993788819875,,1
A mobile phone that is not a smartphone,b8a,3.6240740740740729,,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b8b,2.2980086580086576,,1
A desktop computer,b8c,5.3472222222222232,,1
A laptop or notebook computer,b8d,1.0666666666666669,,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b8e,1.0722789115646261,,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b8f,0.53333333333333333,,1
I use a postpaid plan (i.e.; with contracts),b9a,3.1683673469387754,,1
I use freeWIFI (at home; in school; coffee shop or cafés; malls; etc.),b9b,0.11645382395382384,,1
I pay for internet I use (e.g. in a cybercafé or internet cafe; PisoNet),b9c,2.3390370405456609,,1
I use prepaid offers (e.g. GOSurf; GIGASurf; etc.),b9d,1.6660664265706286,,1
null,b10a,2.5298211678140006,,1
My parents,b10b1,2.0613373554550027,,1
My siblings,b10b2,2.0613373554550027,,1
Relatives,b10b3,1.2895486579697106,,1
Friends who are the same age as I am,b10c1,0.018853695324283593,,1
Friends who are older than me,b10c2,1.5281015281015282,,1
My teacher,b10d,,,1
Others,b10e,0.96153846153846145,,1
Hours,b11,,,11
Hours,b12,,,11
null,c1,2.6917647058823531,,1
null,c2,1.036637065637066,,1
I learned something new by searching online,c4a,1.385184508586043,,1
I used the internet for schoolwork,c4c,0.057131185807656373,,1
I looked for information about work or study opportunities,c4b,3.3009970578620464,,1
Checked maps,c4c1,0.57046131788295606,,1
I looked for information about the place I want to go visit/eat,c4c2,4.6719496309161963,,1
I looked for resources or events about my local neighbourhood,c4d,0.48490436194240527,,1
I got involved online in a local organisation or charity,c4f,1.2870630783369248,,1
I used the internet to help somebody else,c4g,0.20384445100354176,,1
I used the internet to talk to people from places or backgrounds different from mine,c4e,6.3100292290829367,,1
I looked for the news online,c4h,2.8356967787114846,,1
I discussed political or social problems with other people online,c4i,1.2416839199447898,,1
I got involved online in a campaign or protest,c4j,2.8392857142857135,,1
I signed a petition online,c4k,,,1
I used the internet to join a civic; religious or political group,c4l,3.6534690101757636,,1
I posted videos or music created by someone else,c4o,6.0582506812248695,,1
I created my own video or music and uploaded it to share,c4m,0.041205053449951408,,1
I created a blog or story or website online,c4n,2.7675070028011208,,1
I created my own artwork; designs and illustrations and uploaded them on the internet,c4o1,2.5608728690366056,,1
