Question,Feature,Chi,Higher Or Lower,Degrees of Freedom
Mother,a3a,2.408122844508549,-,1
Father,a3b,0.70174112389255472,-,1
Step or foster mother,a3c,0.022288985380243605,-,1
Step or foster father,a3d,0.073017254704557152,+,1
Grandparent(s) or other relatives,a3e,1.4915044362443579,-,1
Siblings (including half; step or foster siblings),a3f,0.99959348708524964,-,1
My spouse or partner (including boyfriend/girlfriend),a3g,1.315417780857945,+,1
My child or children,a3h,0.099012251717872785,-,1
Parents (or relatives) of my spouse or partner,a3i,0.31178056396676945,-,1
I live in a foster home or children's home,a3j,0.9983001302430573,-,1
I live alone,a3k,0.66522458794850592,-,1
Someone or somewhere else: please state____,a3l,0.35228709995587121,-,1
I am a school student,a4a,13.480057920433161,-,1
I am a student in college,a4g,6.7332532400410967,+,1
I am attending training in technical/vocational course,a4h,3.4320704312120123,+,1
I do paid employment,a4c,2.0074326610491151,+,1
I do unpaid work,a4d,0.39360677838636987,-,1
I am looking for work,a4e,2.5687692503714916,+,1
I help out at home,a4f,5.3513331013858663,+,1
I am currently in a vacation,a4i,0.20185333090362007,+,1
Schooling,a5,3.5798909626680033,+,1
null,b1,199.14879011861177,,15
Age,b3,10.707645461316334,+,1
At school or college,b6a,26.611740051267656,+,1
At home,b6b,15.328645058631794,+,1
In the home of friends or relatives,b6c,6.6737915590801036,+,1
In a public place (for example; in libraries; cafés; computer shops),b6d,0.0012640118425653268,-,1
When I am on my way somewhere (e.g. on the street; in a bus or car),b6e,6.6698408212166029,+,1
When I am somewhere by myself,b6f,29.677249548904911,+,1
PisoNet,b6g,1.3009757041377594,-,1
A mobile phone that is not a smartphone,b7a,15.415410481938167,+,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b7b,26.065359806596472,+,1
A desktop computer,b7c,0.57562380578779515,+,1
A laptop or notebook computer,b7d,0.90201465547541249,+,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b7e,0.50456246665072824,+,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b7f,0.036045492484111374,+,1
A mobile phone that is not a smartphone,b8a,3.3976674659804855,+,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b8b,10.403709857800363,+,1
A desktop computer,b8c,3.5011706457364058,+,1
A laptop or notebook computer,b8d,0.047471740493689352,+,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b8e,0.35405425510437305,+,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b8f,0.22220521652661676,-,1
I use a postpaid plan (i.e.; with contracts),b9a,0.77595940832989929,+,1
I use freeWIFI (at home; in school; coffee shop or cafés; malls; etc.),b9b,15.555636497236726,+,1
I pay for internet I use (e.g. in a cybercafé or internet cafe; PisoNet),b9c,0.039045807362936759,+,1
I use prepaid offers (e.g. GOSurf; GIGASurf; etc.),b9d,30.68706953733782,+,1
null,b10a,20.142644524798502,+,1
My parents,b10b1,9.6781244595295544,-,1
My siblings,b10b2,0.00062859607837329324,+,1
Relatives,b10b3,0.019101059776016373,+,1
Friends who are the same age as I am,b10c1,21.82583862688308,+,1
Friends who are older than me,b10c2,0.33099199131494195,+,1
My teacher,b10d,0.128735435546461,-,1
Others,b10e,0.038726268908331737,-,1
Hours,b11,29.839287892329679,,11
Hours,b12,34.991164918319569,,11
null,c1,0.75924925992023651,-,1
null,c2,0.49672542964781941,+,1
I learned something new by searching online,c4a,1.7812733692335638,+,1
I used the internet for schoolwork,c4c,9.8395486245641184,+,1
I looked for information about work or study opportunities,c4b,14.223458987727195,+,1
Checked maps,c4c1,2.3593304098059686,+,1
I looked for information about the place I want to go visit/eat,c4c2,14.776420565911932,+,1
I looked for resources or events about my local neighbourhood,c4d,6.653662365933549,+,1
I got involved online in a local organisation or charity,c4f,1.2317815916548769,+,1
I used the internet to help somebody else,c4g,5.381466207277283,+,1
I used the internet to talk to people from places or backgrounds different from mine,c4e,6.0036173915489153,+,1
I looked for the news online,c4h,29.091018437070154,+,1
I discussed political or social problems with other people online,c4i,10.718648410473477,+,1
I got involved online in a campaign or protest,c4j,0.46719180804527038,+,1
I signed a petition online,c4k,0.078273809055861593,-,1
I used the internet to join a civic; religious or political group,c4l,2.116843904849794,+,1
I posted videos or music created by someone else,c4o,3.5461804990014727,+,1
I created my own video or music and uploaded it to share,c4m,3.7257978681688506,+,1
I created a blog or story or website online,c4n,2.3361219481971469,+,1
I created my own artwork; designs and illustrations and uploaded them on the internet,c4o1,0.79782729456764889,+,1
I used instant messaging [insert local examples e.g. Viber; WhatsApp],c4r,5.3736920700826936,+,1
I visited a social network site (e.g.; Facebook [add local examples]),c4p,14.850426456019306,+,1
I helped someone else who needed or wanted to go online,c4t,2.6459623989585581,+,1
I talked to family or friends who live further away (e.g. by Skype; Viber; FaceTime),c4q,6.9800930393529743,+,1
I commented on the updates that friends or family have put online,c4u,24.235503462250332,+,1
I re-posted or shared a social media post online,c4t1,15.948388252858987,+,1
I showed my friends or family something that I saw online,c4v,8.5132447531930264,+,1
I visited a chatroom to meet new people [insert local examples],c4w,5.6011767747784269,+,1
I watched video clips (e.g. on YouTube [insert local examples]),c4x,1.2129137642849639,+,1
I played online games alone,c4y,3.66569071922209,-,1
I played games with other people online,c4z,2.4288034649720025,-,1
I listened to music online (by downloading or streaming),c4bb,12.217005837376311,+,1
I watched my favourite TV shows,c4cc,0.17511366612576953,+,1
I joined a fan site (of a celebrity or popular band),c4cc1,0.97648298502133457,+,1
I posted photos or comments online (e.g. on Facebook or a blog),c4gg,17.82190091181657,+,1
I looked for health information for myself or someone I know,c4ee,10.9957064311079,+,1
I participated in a site where people share my interests or hobbies,c4ff,7.1575264733328474,+,1
I browsed for things to buy,c4hh,9.5674482739469706,+,1
I checked out what things cost by looking online,c4hh1,8.0768178840541722,+,1
I have sold an item online,c4hh2,1.0897979566672875,+,1
My mother or father (or step/foster mother or father),c6a,11.128153312058268,+,1
My brother or sister (or step/foster/half siblings),c6b,15.854109937154453,+,1
A friend around my age,c6c,38.186764619253836,+,1
A teacher,c6d,7.4862990320880645,+,1
Another adult I trust,c6e,9.3428713862164408,+,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c6f,9.1473516134018045,+,1
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c6g,8.8676263147355527,+,1
A relative or friend who is an OFW (overseas Filipino worker),c6g1,5.9042075218642038,+,1
Someone else,c6h,7.994908895309413,+,1
My mother or father (or step/foster mother or father),c7a,7.749711314041595,+,1
My brother or sister (or step/foster/half siblings),c7b,24.432167328671305,+,1
A friend around my age,c7c,44.331920815490001,+,1
A teacher,c7d,5.5027541448737862,+,1
Another adult I trust,c7e,9.1773872717231022,+,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c7f,8.4958201468033465,+,1
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c7g,11.591604253838764,+,1
A relative or friend who is an OFW (overseas Filipino worker),c7g1,6.628021488024368,+,1
Someone else,c7h,12.170958152316524,+,1
My mother or father (or step/foster mother or father),c8a,0.53946049626225578,+,1
My brother or sister (or step/foster/half siblings),c8b,9.9763495662689206,+,1
A friend around my age,c8c,19.534210916440149,+,1
A teacher,c8d,3.6874445931151101,+,1
Another adult I trust,c8e,6.7137680080992288,+,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c8f,3.9150400360846342,+,1
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c8g,5.788838622081629,+,1
A relative or friend who is an OFW (overseas Filipino worker),c8g1,5.3206786291603398,+,1
Someone else,c8h,4.6761136570456081,+,1
My mother or father (or step/foster mother or father),c9a,5.2940619924677756,+,1
My brother or sister (or step/foster/half siblings),c9b,2.6528685486291321,+,1
A friend around my age,c9c,6.8811786287846104,+,1
A teacher,c9d,4.4223616929260441,+,1
Another adult I trust,c9e,5.6720144698687118,+,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c9f,5.7961497173083991,+,1
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c9g,2.6804108552534234,+,1
