Question,Feature,Chi,Higher Or Lower,Degrees of Freedom
Mother,a3a,0.00248548905796535,-,1
Father,a3b,0.20474261060541987,-,1
Step or foster mother,a3c,0.64461299920378834,-,1
Step or foster father,a3d,0.31712888515045812,-,1
Grandparent(s) or other relatives,a3e,0.5439630209862516,-,1
Siblings (including half; step or foster siblings),a3f,0.054441996643455066,-,1
My spouse or partner (including boyfriend/girlfriend),a3g,0.15730098088140249,-,1
My child or children,a3h,0.47954509556152258,-,1
Parents (or relatives) of my spouse or partner,a3i,0.60309388291087629,-,1
I live in a foster home or children's home,a3j,0.039091629902209934,-,1
I live alone,a3k,,-,1
Someone or somewhere else: please state____,a3l,0.00063098038889673324,+,1
I am a school student,a4a,0.15537205922282027,+,1
I am a student in college,a4g,,-,1
I am attending training in technical/vocational course,a4h,0.077539252799207772,-,1
I do paid employment,a4c,0.038693607524310537,-,1
I do unpaid work,a4d,0.19499742922330404,-,1
I am looking for work,a4e,0.11653783368542348,-,1
I help out at home,a4f,3.1439293369107237,-,1
I am currently in a vacation,a4i,1.6722247051947605,-,1
Schooling,a5,0.67625620347394544,+,1
null,b1,,,15
Age,b3,3.7579725113263454,+,1
At school or college,b6a,4.6845347491661551,+,1
At home,b6b,0.23691193051900955,-,1
In the home of friends or relatives,b6c,0.64883093016680804,+,1
In a public place (for example; in libraries; cafés; computer shops),b6d,1.0806350839795653,+,1
When I am on my way somewhere (e.g. on the street; in a bus or car),b6e,1.730665004004952,+,1
When I am somewhere by myself,b6f,0.9371545352092463,-,1
PisoNet,b6g,0.34728848725799522,+,1
A mobile phone that is not a smartphone,b7a,0.21976182667475405,+,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b7b,0.23381914232184681,+,1
A desktop computer,b7c,9.4408588634755795,+,1
A laptop or notebook computer,b7d,0.23862579816943064,-,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b7e,0.076087401270879457,+,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b7f,0.57339246281933243,+,1
A mobile phone that is not a smartphone,b8a,0.023814998693493569,+,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b8b,0.34307830955501051,-,1
A desktop computer,b8c,1.1194630109857109,-,1
A laptop or notebook computer,b8d,0.040463077441834278,+,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b8e,0.6446786532482407,-,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b8f,0.00050099752185154244,-,1
I use a postpaid plan (i.e.; with contracts),b9a,0.14413213998390978,+,1
I use freeWIFI (at home; in school; coffee shop or cafés; malls; etc.),b9b,5.0188200599453065e-05,+,1
I pay for internet I use (e.g. in a cybercafé or internet cafe; PisoNet),b9c,0.383425172055533,-,1
I use prepaid offers (e.g. GOSurf; GIGASurf; etc.),b9d,0.00087706313374288556,-,1
null,b10a,0.23066104078762306,-,1
My parents,b10b1,0.34587200561234449,+,1
My siblings,b10b2,0.98458189945991237,-,1
Relatives,b10b3,0.097873577284267682,-,1
Friends who are the same age as I am,b10c1,0.59526449106326218,+,1
Friends who are older than me,b10c2,0.22805233472110722,-,1
My teacher,b10d,0.67297207076888832,-,1
Others,b10e,1.1779829379455418,-,1
Hours,b11,10.973263933894279,,11
Hours,b12,4.9083429659606779,,11
null,c1,0.76194656967264529,+,1
null,c2,0.002883535615270859,-,1
I learned something new by searching online,c4a,0.14380201220579719,+,1
I used the internet for schoolwork,c4c,0.57845408846378898,+,1
I looked for information about work or study opportunities,c4b,0.2221585603938547,+,1
Checked maps,c4c1,0.028598272729535291,+,1
I looked for information about the place I want to go visit/eat,c4c2,0.006398207056101785,+,1
I looked for resources or events about my local neighbourhood,c4d,2.1106150793650795,+,1
I got involved online in a local organisation or charity,c4f,0.0032210214028395878,+,1
I used the internet to help somebody else,c4g,0.34714435050493198,+,1
I used the internet to talk to people from places or backgrounds different from mine,c4e,7.5481212010786836,+,1
I looked for the news online,c4h,0.74370359497510752,+,1
I discussed political or social problems with other people online,c4i,0.037400410618655844,+,1
I got involved online in a campaign or protest,c4j,1.5588053346957453,+,1
I signed a petition online,c4k,0.84605422682684883,-,1
I used the internet to join a civic; religious or political group,c4l,0.13401445089746011,+,1
I posted videos or music created by someone else,c4o,0.34376941921191712,-,1
I created my own video or music and uploaded it to share,c4m,0.054171847979617917,-,1
I created a blog or story or website online,c4n,0.75594514380372391,-,1
I created my own artwork; designs and illustrations and uploaded them on the internet,c4o1,0.42354848036121245,+,1
I used instant messaging [insert local examples e.g. Viber; WhatsApp],c4r,0.33069043192219683,-,1
I visited a social network site (e.g.; Facebook [add local examples]),c4p,1.941537675457031,+,1
I helped someone else who needed or wanted to go online,c4t,0.0089728840702792464,-,1
I talked to family or friends who live further away (e.g. by Skype; Viber; FaceTime),c4q,0.026172324425064643,+,1
I commented on the updates that friends or family have put online,c4u,0.50437215330832352,+,1
I re-posted or shared a social media post online,c4t1,2.7567228929663603,+,1
I showed my friends or family something that I saw online,c4v,0.56797368662047043,+,1
I visited a chatroom to meet new people [insert local examples],c4w,0.15805483490214586,-,1
