Question,Feature,Chi,Higher Or Lower,Degrees of Freedom
Mother,a3a,5.1819277679545497,,1
Father,a3b,2.2413659921292943,,1
Step or foster mother,a3c,3.0442882866889733,,1
Step or foster father,a3d,0.51502541199112639,,1
Grandparent(s) or other relatives,a3e,3.5895936626732725,,1
Siblings (including half; step or foster siblings),a3f,2.6813446021920058,,1
My spouse or partner (including boyfriend/girlfriend),a3g,3.7415950999790892,,1
My child or children,a3h,0.25800729625619379,,1
Parents (or relatives) of my spouse or partner,a3i,0.37479545406021231,,1
I live in a foster home or children's home,a3j,1.0475670240394934,,1
I live alone,a3k,3.7050539227020187,,1
Someone or somewhere else: please state____,a3l,0.90149810467323266,,1
I am a school student,a4a,40.87926736771513,,1
I am a student in college,a4g,20.063641055706718,,1
I am attending training in technical/vocational course,a4h,10.869050307534582,,1
I do paid employment,a4c,10.645434799255302,,1
I do unpaid work,a4d,1.2825117258103498,,1
I am looking for work,a4e,7.3214266491498954,,1
I help out at home,a4f,30.528635884294189,,1
I am currently in a vacation,a4i,9.141031854824325,,1
Schooling,a5,24.726464184342714,,1
null,b1,825.05422093126731,,15
Age,b3,24.471124576785183,,1
At school or college,b6a,80.852661442504626,,1
At home,b6b,45.377590370594959,,1
In the home of friends or relatives,b6c,23.640914381803761,,1
In a public place (for example; in libraries; cafés; computer shops),b6d,0.17739883190494435,,1
When I am on my way somewhere (e.g. on the street; in a bus or car),b6e,21.915949702249794,,1
When I am somewhere by myself,b6f,75.530774829794183,,1
PisoNet,b6g,3.5033896830924962,,1
A mobile phone that is not a smartphone,b7a,34.545890180744635,,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b7b,69.868867846519876,,1
A desktop computer,b7c,1.4969621504550621,,1
A laptop or notebook computer,b7d,7.609277837027097,,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b7e,1.1827422650201043,,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b7f,0.74614107896862869,,1
A mobile phone that is not a smartphone,b8a,12.864176899743661,,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b8b,38.038216856868203,,1
A desktop computer,b8c,9.0937323986416594,,1
A laptop or notebook computer,b8d,0.30623491758589022,,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b8e,1.553520166419736,,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b8f,0.15299399849644518,,1
I use a postpaid plan (i.e.; with contracts),b9a,1.7482037123407115,,1
I use freeWIFI (at home; in school; coffee shop or cafés; malls; etc.),b9b,36.639567872769049,,1
I pay for internet I use (e.g. in a cybercafé or internet cafe; PisoNet),b9c,0.25379028278435634,,1
I use prepaid offers (e.g. GOSurf; GIGASurf; etc.),b9d,98.622386427984182,,1
null,b10a,48.08558750600055,,1
My parents,b10b1,21.404310985957068,,1
My siblings,b10b2,2.3004848289574009,,1
Relatives,b10b3,0.062634614125092192,,1
Friends who are the same age as I am,b10c1,52.30144011452245,,1
Friends who are older than me,b10c2,1.3105288990157007,,1
My teacher,b10d,3.4860351776459457,,1
Others,b10e,0.98873433102017771,,1
Hours,b11,85.614174774130461,,11
Hours,b12,111.54923332015747,,11
null,c1,1.9570384211003642,,1
null,c2,2.1013258628774425,,1
I learned something new by searching online,c4a,13.913117335898495,,1
I used the internet for schoolwork,c4c,36.677064966375809,,1
I looked for information about work or study opportunities,c4b,36.656779749220568,,1
Checked maps,c4c1,5.9314453214612524,,1
I looked for information about the place I want to go visit/eat,c4c2,33.92529864614005,,1
I looked for resources or events about my local neighbourhood,c4d,15.116623528771653,,1
I got involved online in a local organisation or charity,c4f,3.7198840237759665,,1
I used the internet to help somebody else,c4g,12.645213668847457,,1
I used the internet to talk to people from places or backgrounds different from mine,c4e,20.262616277859838,,1
I looked for the news online,c4h,70.123698231187262,,1
I discussed political or social problems with other people online,c4i,27.299141396022158,,1
I got involved online in a campaign or protest,c4j,1.2513502355878567,,1
I signed a petition online,c4k,1.9342970198100113,,1
I used the internet to join a civic; religious or political group,c4l,4.7737819267514192,,1
I posted videos or music created by someone else,c4o,7.2413526542107238,,1
I created my own video or music and uploaded it to share,c4m,9.3372035668327307,,1
I created a blog or story or website online,c4n,5.3301432554963686,,1
I created my own artwork; designs and illustrations and uploaded them on the internet,c4o1,1.8955995666612586,,1
I used instant messaging [insert local examples e.g. Viber; WhatsApp],c4r,18.408583486388594,,1
I visited a social network site (e.g.; Facebook [add local examples]),c4p,55.846569118328993,,1
I helped someone else who needed or wanted to go online,c4t,12.958175555505168,,1
I talked to family or friends who live further away (e.g. by Skype; Viber; FaceTime),c4q,20.12407287124379,,1
I commented on the updates that friends or family have put online,c4u,72.579670252118191,,1
I re-posted or shared a social media post online,c4t1,41.108800201244733,,1
I showed my friends or family something that I saw online,c4v,23.403972452957419,,1
I visited a chatroom to meet new people [insert local examples],c4w,15.765015798405217,,1
I watched video clips (e.g. on YouTube [insert local examples]),c4x,6.6787836664531781,,1
I played online games alone,c4y,8.4880316787647239,,1
I played games with other people online,c4z,5.2044083303191009,,1
I listened to music online (by downloading or streaming),c4bb,29.127589090887906,,1
I watched my favourite TV shows,c4cc,1.6769096194486435,,1
I joined a fan site (of a celebrity or popular band),c4cc1,11.041101568830028,,1
I posted photos or comments online (e.g. on Facebook or a blog),c4gg,58.369519763428031,,1
I looked for health information for myself or someone I know,c4ee,25.28535423973797,,1
I participated in a site where people share my interests or hobbies,c4ff,18.500822435405659,,1
I browsed for things to buy,c4hh,24.502089922251194,,1
I checked out what things cost by looking online,c4hh1,21.83500911883905,,1
I have sold an item online,c4hh2,2.4783760619959807,,1
My mother or father (or step/foster mother or father),c6a,25.102327466651793,,1
My brother or sister (or step/foster/half siblings),c6b,43.168498983205133,,1
A friend around my age,c6c,109.02611931147111,,1
A teacher,c6d,22.503458437835825,,1
Another adult I trust,c6e,24.06065174447351,,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c6f,26.477330026841052,,1
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c6g,24.189796251252737,,1
A relative or friend who is an OFW (overseas Filipino worker),c6g1,18.886289633351574,,1
Someone else,c6h,20.387535381797392,,1
My mother or father (or step/foster mother or father),c7a,19.093916725706219,,1
My brother or sister (or step/foster/half siblings),c7b,64.446489828189499,,1
A friend around my age,c7c,139.045413628782,,1
A teacher,c7d,13.261011874133015,,1
Another adult I trust,c7e,30.283203135528762,,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c7f,26.306925792822717,,1
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c7g,29.161750428110729,,1
A relative or friend who is an OFW (overseas Filipino worker),c7g1,24.052786639792707,,1
Someone else,c7h,29.216148024206269,,1
My mother or father (or step/foster mother or father),c8a,4.7180990898305106,,1
My brother or sister (or step/foster/half siblings),c8b,23.052729841012621,,1
A friend around my age,c8c,68.726189626111719,,1
A teacher,c8d,9.7886212994760484,,1
Another adult I trust,c8e,18.263524400479227,,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c8f,13.392702210684721,,1
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c8g,20.7073090656753,,1
A relative or friend who is an OFW (overseas Filipino worker),c8g1,13.275978508498994,,1
Someone else,c8h,14.181076694448786,,1
My mother or father (or step/foster mother or father),c9a,10.286303343931959,,1
My brother or sister (or step/foster/half siblings),c9b,5.1333372960347052,,1
A friend around my age,c9c,17.57487277485869,,1
A teacher,c9d,9.2434108792138243,,1
Another adult I trust,c9e,12.833579370341788,,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c9f,11.924097886618171,,1
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c9g,6.9296467774703032,,1
A relative or friend who is an OFW (overseas Filipino worker),c9g1,3.1561237902590342,,1
Someone else,c9h,7.2349584257902393,,1
Making presentations,c10a,37.242535423372345,,1
Writing things,c10b,18.919297026327055,,1
Making pictures,c10c,49.789489928738618,,1
Practising something I am learning (e.g. maths or a language or music),c10d,9.942550092791782,,1
Checking out information on the school website,c10e,55.93366755018625,,1
Doing group work with other students,c10f,65.437455332382697,,1
Chatting online at school,c10g,58.566982413657605,,1
Communicating with teachers (e.g. submitting homework or asking a question),c10h,41.22736104950193,,1
Contributing to a school blog or online discussion,c10i,15.20508480598626,,1
I know how to save a photo that I find online,e1a,116.74115014989383,,1
I know how to change my privacy settings (e.g. on a social networking site),e1b,87.189570925511902,,1
I know how to use a programming language (e.g. HTML; XML; etc.),e1c,45.686045552618623,,1
I know how to jailbreak; crack games and apps; change IP address,e1f1,1.6071910571624246,,1
I know how to hide my IP address,e1f2,22.461524531592509,,1
I know how to set network settings (LAN; wi-fi; device-connection),e1f3,47.953075531391598,,1
I know how to hack certain files,e1f4,5.8249763257776381,,1
I know how to set the firewall,e1f5,11.204800633065695,,1
I find it easy to find a website I have visited before,e1i,53.900666384268085,,1
I find it easy to check if the information I find online is true,e1g,49.862622409183274,,1
I find it easy to choose the best keywords for online searches,e1h,95.684922169980524,,1
Sometimes I end up on websites without knowing how I got there,e1k,38.468056492205264,,1
I know how to use incognito in browsing,e1k1,28.152481132586828,,1
I know which information I should and shouldn't share online,e1l,53.067492690557636,,1
I know how to remove people from my contact lists,e1m,71.53947571675883,,1
I know how to block,e1m1,139.52652101172845,,1
I know when I should and shouldn't share information online,e1n,77.527056455716604,,1
I know how to behave according to the situation online,e1o,80.187786793521667,,1
I know how to change who I share content with (e.g. friends; friends of friends or everyone),e1p,93.769746907746935,,1
I know how to report abusive posts or things that I find offending in social media (e.g. Facebook report abuse),e1p1,61.469723269672912,,1
I know how to create something new from video or music that I found online,e1t,18.592092104257361,,1
I know how to post online video or music that I have created myself,e1q,9.4996235613786517,,1
I know which different types of licences apply to online content,e1s,22.471854002437937,,1
I know how to edit or make basic changes to online content that others have created,e1r,29.010967275661397,,1
I know how to design a website,e1u,8.4964501795528804,,1
I know how to install apps on a mobile device (e.g. phone or tablet),e1v,88.947457406713397,,1
I know how to safeguard my online expenses while using mobile apps,e1w,99.808973498712902,,1
I know how to make an in-app purchase,e1x,39.050492644714666,,1
I know how to download and carck to full version some paid apps without paying a fee (e.g. torrent; etc.),e1x1,31.130242643961665,,1
Deactivate the function showing my geographical position (on Facebook; Google Maps; etc.),e3a,66.418404696954696,,1
Connect to a Wi-Fi network,e3b,62.380468023838958,,1
Block push notifications from different apps,e3c,74.753756890535527,,1
Have the same documents; contacts or apps on all devices that I use (e.g. smartphone; tablet; PC),e3d,58.603170568376683,,1
Block pop ups which promote apps; games or services I have to pay for (unrequested windows that appear during web surfing),e3e,30.129483700037781,,1
Protect a smartphone with a PIN/with a screen pattern,e3f,87.900783725993094,,1
Update my status on the social networking site I use the most,e3g,115.35247418733613,,1
Find information on how to use smartphones safely,e3h,89.183606838257589,,1
Compare similar apps to choose the one that is most reliable,e3i,100.86229278459177,,1
Take a picture or a video with my smartphone and post it onto social media,e3j,33.763746613905582,,1
Twitter,d1d,31.418624700693321,,1
Viber,d1e,4.9015703576039762,,1
Skype,d1f,2.5656959943680513,,1
Facebook,d1a,85.05999297725991,,1
