Question,Feature,Chi,Higher Or Lower,Degrees of Freedom
Mother,a3a,0.00891044111694843,-,1
Father,a3b,0.034811783349467558,+,1
Step or foster mother,a3c,1.0246301368153725,-,1
Step or foster father,a3d,0.40399843844518862,-,1
Grandparent(s) or other relatives,a3e,0.0056241729813582492,+,1
Siblings (including half; step or foster siblings),a3f,0.82587423676845295,+,1
My spouse or partner (including boyfriend/girlfriend),a3g,0.011123549711109819,-,1
My child or children,a3h,0.00037802977683560138,-,1
Parents (or relatives) of my spouse or partner,a3i,0.25728501260549985,-,1
I live in a foster home or children's home,a3j,0.5439215284654414,+,1
I live alone,a3k,0.3623254165714016,+,1
Someone or somewhere else: please state____,a3l,0.0074604050004609523,+,1
I am a school student,a4a,1.7216267624192192,+,1
I am a student in college,a4g,0.10835879490446712,+,1
I am attending training in technical/vocational course,a4h,0.39775225643590373,-,1
I do paid employment,a4c,2.3710501644784361,-,1
I do unpaid work,a4d,0.43104347136363236,-,1
I am looking for work,a4e,2.1277516356026793,-,1
I help out at home,a4f,1.4789740397272668,+,1
I am currently in a vacation,a4i,0.3338645285784323,-,1
Schooling,a5,1.0888337331303093,+,1
null,b1,16.470091037216761,,15
Age,b3,0.08973207816013784,-,1
At school or college,b6a,0.8025981489399765,+,1
At home,b6b,3.3487063648206417,+,1
In the home of friends or relatives,b6c,0.71222282899401479,+,1
In a public place (for example; in libraries; cafés; computer shops),b6d,4.9010173463274711,-,1
When I am on my way somewhere (e.g. on the street; in a bus or car),b6e,0.0013496361652540732,+,1
When I am somewhere by myself,b6f,3.2906395443277932,+,1
PisoNet,b6g,4.9159103341031241,-,1
A mobile phone that is not a smartphone,b7a,0.025787836091117015,-,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b7b,2.8041851793695241,+,1
A desktop computer,b7c,2.7165372682538651,-,1
A laptop or notebook computer,b7d,0.19913786432086228,+,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b7e,1.1033634331999982,-,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b7f,10.710263524874412,-,1
A mobile phone that is not a smartphone,b8a,0.081747750655486451,+,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b8b,0.021849417820068631,-,1
A desktop computer,b8c,0.24786006051366088,-,1
A laptop or notebook computer,b8d,0.10010213293945731,+,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b8e,0.12522853764956263,+,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b8f,0.24692796441527814,+,1
I use a postpaid plan (i.e.; with contracts),b9a,0.00026823275230481857,+,1
I use freeWIFI (at home; in school; coffee shop or cafés; malls; etc.),b9b,7.6468193158105704,+,1
I pay for internet I use (e.g. in a cybercafé or internet cafe; PisoNet),b9c,2.5992125880285775,-,1
I use prepaid offers (e.g. GOSurf; GIGASurf; etc.),b9d,6.7906040643090035,+,1
null,b10a,1.1799524205082883,+,1
My parents,b10b1,0.20310775983512197,-,1
My siblings,b10b2,1.1034486082459747,+,1
Relatives,b10b3,0.037796442687747032,-,1
Friends who are the same age as I am,b10c1,0.296258868173568,-,1
Friends who are older than me,b10c2,3.3051567302633429,-,1
My teacher,b10d,0.24176604884116659,-,1
Others,b10e,0.23327815393806617,-,1
Hours,b11,3.4366562654746797,,11
Hours,b12,8.3144595056565844,,11
null,c1,0.27950310248821719,+,1
null,c2,2.1904552728819313,-,1
I learned something new by searching online,c4a,0.00079959074684812217,-,1
I used the internet for schoolwork,c4c,1.3816196456093426,+,1
I looked for information about work or study opportunities,c4b,0.0065559167500523841,-,1
Checked maps,c4c1,0.41573061561612651,-,1
I looked for information about the place I want to go visit/eat,c4c2,0.79091839368400108,+,1
I looked for resources or events about my local neighbourhood,c4d,0.096276498201963989,-,1
I got involved online in a local organisation or charity,c4f,1.6607058088697564,-,1
I used the internet to help somebody else,c4g,0.016315668806826465,-,1
I used the internet to talk to people from places or backgrounds different from mine,c4e,1.3056942000910476,-,1
I looked for the news online,c4h,0.053864252035178146,+,1
I discussed political or social problems with other people online,c4i,0.014585267409842652,+,1
I got involved online in a campaign or protest,c4j,3.0579721215525648,-,1
I signed a petition online,c4k,1.021621608285888,-,1
I used the internet to join a civic; religious or political group,c4l,1.6570039997191968,-,1
I posted videos or music created by someone else,c4o,1.7044121894524578,-,1
I created my own video or music and uploaded it to share,c4m,0.29490117287784451,-,1
I created a blog or story or website online,c4n,0.40485286728676573,-,1
I created my own artwork; designs and illustrations and uploaded them on the internet,c4o1,0.0026075545101791153,-,1
I used instant messaging [insert local examples e.g. Viber; WhatsApp],c4r,0.42065546197624132,-,1
I visited a social network site (e.g.; Facebook [add local examples]),c4p,2.2736379659180339,+,1
I helped someone else who needed or wanted to go online,c4t,0.50334576674158638,-,1
I talked to family or friends who live further away (e.g. by Skype; Viber; FaceTime),c4q,0.99569208461136305,+,1
I commented on the updates that friends or family have put online,c4u,3.0768455087111208,+,1
I re-posted or shared a social media post online,c4t1,2.276732274660128,+,1
I showed my friends or family something that I saw online,c4v,0.37170532704770359,+,1
I visited a chatroom to meet new people [insert local examples],c4w,5.3821620621645305,-,1
I watched video clips (e.g. on YouTube [insert local examples]),c4x,2.1157717992587672,-,1
I played online games alone,c4y,34.416098776135584,-,1
I played games with other people online,c4z,54.723540302150077,-,1
I listened to music online (by downloading or streaming),c4bb,0.19561396647895357,-,1
I watched my favourite TV shows,c4cc,0.00095266767881032233,-,1
I joined a fan site (of a celebrity or popular band),c4cc1,0.92146049002001029,+,1
I posted photos or comments online (e.g. on Facebook or a blog),c4gg,3.3727642330856185,+,1
I looked for health information for myself or someone I know,c4ee,0.12754035093144211,-,1
I participated in a site where people share my interests or hobbies,c4ff,1.231310486533318,-,1
I browsed for things to buy,c4hh,0.0091160773373841746,+,1
I checked out what things cost by looking online,c4hh1,0.26524258488548541,+,1
I have sold an item online,c4hh2,1.0315749022300928,-,1
My mother or father (or step/foster mother or father),c6a,1.3852827487032329,+,1
My brother or sister (or step/foster/half siblings),c6b,0.39161342369530067,+,1
A friend around my age,c6c,2.5556978446551919,+,1
A teacher,c6d,0.0047459183767805946,+,1
Another adult I trust,c6e,0.047845032859543293,+,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c6f,0.0090813470496568897,+,1
