Question,Feature,Chi,Higher Or Lower,Degrees of Freedom
Mother,a3a,0.062258692940327022,-,1
Father,a3b,1.8229320395513575,-,1
Step or foster mother,a3c,0.85116397435742064,-,1
Step or foster father,a3d,0.089166951989312043,+,1
Grandparent(s) or other relatives,a3e,0.00036270645712772881,-,1
Siblings (including half; step or foster siblings),a3f,0.27912345558559259,+,1
My spouse or partner (including boyfriend/girlfriend),a3g,0.44673995314471071,-,1
My child or children,a3h,0.0060313188868317009,-,1
Parents (or relatives) of my spouse or partner,a3i,0.39010229754546588,+,1
I live in a foster home or children's home,a3j,0.14795874516544907,-,1
I live alone,a3k,0.098533892191291592,-,1
Someone or somewhere else: please state____,a3l,4.1412206023541627,+,1
I am a school student,a4a,1.6999343282502997,+,1
I am a student in college,a4g,0.65684794002167468,-,1
I am attending training in technical/vocational course,a4h,0.34575725738516433,+,1
I do paid employment,a4c,0.45280375319754163,-,1
I do unpaid work,a4d,0.35143217260213039,-,1
I am looking for work,a4e,0.20018019032603193,-,1
I help out at home,a4f,10.250584305908935,-,1
I am currently in a vacation,a4i,3.4076499169495871,-,1
Schooling,a5,0.40116831474117615,+,1
null,b1,,,15
Age,b3,0.010947636700648685,-,1
At school or college,b6a,0.60615740225993631,-,1
At home,b6b,1.6845360980092199,-,1
In the home of friends or relatives,b6c,0.38893170634091556,-,1
In a public place (for example; in libraries; cafés; computer shops),b6d,0.085759935001576332,+,1
When I am on my way somewhere (e.g. on the street; in a bus or car),b6e,0.21852103523223834,-,1
When I am somewhere by myself,b6f,0.48836468188546023,-,1
PisoNet,b6g,1.4628414557851639,+,1
A mobile phone that is not a smartphone,b7a,0.027363107263901676,-,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b7b,1.1608638418436756,-,1
A desktop computer,b7c,0.37197869893627983,+,1
A laptop or notebook computer,b7d,1.2474658923928184,-,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b7e,0.0013709878226638157,-,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b7f,2.2605778320001391,+,1
A mobile phone that is not a smartphone,b8a,0.65707265707265694,-,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b8b,1.2328112807497378,-,1
A desktop computer,b8c,4.6815088757396461,-,1
A laptop or notebook computer,b8d,0.77594658420545903,-,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b8e,0.038761757168350466,+,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b8f,1.0209042294603794,+,1
I use a postpaid plan (i.e.; with contracts),b9a,4.3789917924614841,-,1
I use freeWIFI (at home; in school; coffee shop or cafés; malls; etc.),b9b,1.4919282440538149,-,1
I pay for internet I use (e.g. in a cybercafé or internet cafe; PisoNet),b9c,1.5119547369950577,+,1
I use prepaid offers (e.g. GOSurf; GIGASurf; etc.),b9d,0.24330186859744443,-,1
null,b10a,0.1444744641530544,-,1
My parents,b10b1,0.049170230178473676,+,1
My siblings,b10b2,0.34155998452184905,-,1
Relatives,b10b3,0.60764870070790811,+,1
Friends who are the same age as I am,b10c1,9.9853044266046768e-05,+,1
Friends who are older than me,b10c2,0.74442930719862066,-,1
My teacher,b10d,0.79237747848858953,-,1
Others,b10e,1.8576806636785403,-,1
Hours,b11,10.59371309451523,,11
Hours,b12,10.473361271360099,,11
null,c1,0.057860701135554922,-,1
null,c2,0.80333698665327335,-,1
I learned something new by searching online,c4a,3.4432913316782083,-,1
I used the internet for schoolwork,c4c,0.58500504164865974,-,1
I looked for information about work or study opportunities,c4b,0.046216452900258199,+,1
Checked maps,c4c1,0.89000700783571884,+,1
I looked for information about the place I want to go visit/eat,c4c2,1.8242238493634451,-,1
I looked for resources or events about my local neighbourhood,c4d,0.032895213639612737,-,1
I got involved online in a local organisation or charity,c4f,1.1096233191760769,-,1
I used the internet to help somebody else,c4g,0.90739749671176395,-,1
I used the internet to talk to people from places or backgrounds different from mine,c4e,0.22425495663402745,-,1
I looked for the news online,c4h,0.77028856927439215,-,1
I discussed political or social problems with other people online,c4i,0.40004545971133126,-,1
I got involved online in a campaign or protest,c4j,0.17228689720979057,-,1
I signed a petition online,c4k,1.5527599486521182,-,1
I used the internet to join a civic; religious or political group,c4l,0.60929615776916246,+,1
I posted videos or music created by someone else,c4o,0.077938069741008351,-,1
I created my own video or music and uploaded it to share,c4m,0.061761221989604674,-,1
I created a blog or story or website online,c4n,2.2010080873204392,-,1
I created my own artwork; designs and illustrations and uploaded them on the internet,c4o1,0.65066098954918739,+,1
I used instant messaging [insert local examples e.g. Viber; WhatsApp],c4r,2.3369987381568449,-,1
I visited a social network site (e.g.; Facebook [add local examples]),c4p,4.5743894454059086,-,1
I helped someone else who needed or wanted to go online,c4t,0.048307822172976467,-,1
I talked to family or friends who live further away (e.g. by Skype; Viber; FaceTime),c4q,1.883714669005272,-,1
I commented on the updates that friends or family have put online,c4u,0.45114853668217236,-,1
I re-posted or shared a social media post online,c4t1,0.82804588497612919,-,1
I showed my friends or family something that I saw online,c4v,0.94471542580955237,-,1
I visited a chatroom to meet new people [insert local examples],c4w,4.8557027645503616,-,1
I watched video clips (e.g. on YouTube [insert local examples]),c4x,0.18419925964255807,+,1
I played online games alone,c4y,0.00055766423176147278,+,1
I played games with other people online,c4z,0.87473554219334992,+,1
I listened to music online (by downloading or streaming),c4bb,0.022031345967471347,-,1
I watched my favourite TV shows,c4cc,4.5715734921437239,+,1
I joined a fan site (of a celebrity or popular band),c4cc1,0.7294485599696785,+,1
I posted photos or comments online (e.g. on Facebook or a blog),c4gg,1.9716243193711953,-,1
I looked for health information for myself or someone I know,c4ee,0.0027259495538486328,-,1
I participated in a site where people share my interests or hobbies,c4ff,0.068582189177238614,-,1
I browsed for things to buy,c4hh,1.5830236616045397,-,1
I checked out what things cost by looking online,c4hh1,1.296041435757197,-,1
I have sold an item online,c4hh2,0.38249744523351159,-,1
My mother or father (or step/foster mother or father),c6a,2.6043945675724913,-,1
My brother or sister (or step/foster/half siblings),c6b,1.8479953527683919,-,1
A friend around my age,c6c,1.636802513988298,-,1
A teacher,c6d,0.00076686780189098706,+,1
Another adult I trust,c6e,2.6870448311921629,+,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c6f,1.3723691989847329,+,1
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c6g,3.1211184213231182,+,1
A relative or friend who is an OFW (overseas Filipino worker),c6g1,0.2172951512828333,+,1
Someone else,c6h,0.15373745905063138,-,1
My mother or father (or step/foster mother or father),c7a,0.13619202726758953,-,1
My brother or sister (or step/foster/half siblings),c7b,0.00022514858605389676,-,1
A friend around my age,c7c,0.38504850603685464,-,1
A teacher,c7d,0.23249401524040633,-,1
Another adult I trust,c7e,0.16053291520847365,+,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c7f,1.1256567108479136,+,1
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c7g,0.61139589756687041,+,1
A relative or friend who is an OFW (overseas Filipino worker),c7g1,0.011542432440702516,+,1
Someone else,c7h,0.010950906756103192,-,1
My mother or father (or step/foster mother or father),c8a,5.4660771100998007,-,1
My brother or sister (or step/foster/half siblings),c8b,2.3357263417663603,-,1
A friend around my age,c8c,0.3408805212734316,-,1
A teacher,c8d,0.36244033830347983,-,1
Another adult I trust,c8e,0.11325355377642971,+,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c8f,0.11853139620116862,-,1
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c8g,0.53088059680780075,-,1
A relative or friend who is an OFW (overseas Filipino worker),c8g1,2.6621797121710702,-,1
Someone else,c8h,0.24959542905334631,-,1
My mother or father (or step/foster mother or father),c9a,1.0740996280627131,+,1
My brother or sister (or step/foster/half siblings),c9b,0.16761891240324864,+,1
A friend around my age,c9c,0.18073218353400594,+,1
A teacher,c9d,0.70373115888312321,+,1
Another adult I trust,c9e,1.3225662960521218,+,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c9f,0.77936713686618331,+,1
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c9g,1.46938663369737,+,1
A relative or friend who is an OFW (overseas Filipino worker),c9g1,1.3038260869565219,+,1
Someone else,c9h,0.91791385343719778,-,1
Making presentations,c10a,0.20360630791091125,+,1
Writing things,c10b,0.019859238139535031,-,1
Making pictures,c10c,0.18566707998147994,-,1
Practising something I am learning (e.g. maths or a language or music),c10d,0.91324549445875025,-,1
Checking out information on the school website,c10e,0.13751577494512379,+,1
Doing group work with other students,c10f,0.093488182493945388,+,1
Chatting online at school,c10g,0.2942601390520278,+,1
Communicating with teachers (e.g. submitting homework or asking a question),c10h,0.15972255401860386,+,1
Contributing to a school blog or online discussion,c10i,0.037763411590526548,-,1
I know how to save a photo that I find online,e1a,0.61937898902403243,+,1
I know how to change my privacy settings (e.g. on a social networking site),e1b,0.0014189106127217928,-,1
I know how to use a programming language (e.g. HTML; XML; etc.),e1c,0.55502964906612173,+,1
I know how to jailbreak; crack games and apps; change IP address,e1f1,0.0046808290293146584,-,1
I know how to hide my IP address,e1f2,1.8774908284601379,+,1
I know how to set network settings (LAN; wi-fi; device-connection),e1f3,2.6828208301616332,+,1
I know how to hack certain files,e1f4,0.3327926386881766,-,1
I know how to set the firewall,e1f5,2.8181781294380199,-,1
I find it easy to find a website I have visited before,e1i,0.7546984035790516,+,1
I find it easy to check if the information I find online is true,e1g,3.8001058404525736,+,1
I find it easy to choose the best keywords for online searches,e1h,4.6584677520680158,+,1
Sometimes I end up on websites without knowing how I got there,e1k,3.4296232295943416,+,1
I know how to use incognito in browsing,e1k1,0.17753785188380394,-,1
I know which information I should and shouldn't share online,e1l,4.3797875764402958,+,1
I know how to remove people from my contact lists,e1m,2.6706876222346985,+,1
I know how to block,e1m1,0.73888042858712666,+,1
I know when I should and shouldn't share information online,e1n,8.1481301180117569,+,1
I know how to behave according to the situation online,e1o,7.3831009023789989,+,1
I know how to change who I share content with (e.g. friends; friends of friends or everyone),e1p,0.0011323998801342238,-,1
I know how to report abusive posts or things that I find offending in social media (e.g. Facebook report abuse),e1p1,0.18798904999914312,-,1
I know how to create something new from video or music that I found online,e1t,1.4257702549535261,+,1
I know how to post online video or music that I have created myself,e1q,1.038903709314571,+,1
I know which different types of licences apply to online content,e1s,0.00012674772132224035,+,1
I know how to edit or make basic changes to online content that others have created,e1r,0.067092378401133704,+,1
I know how to design a website,e1u,1.6291989380778605e-05,-,1
I know how to install apps on a mobile device (e.g. phone or tablet),e1v,0.012805401966242269,+,1
I know how to safeguard my online expenses while using mobile apps,e1w,3.2243643743100208,+,1
I know how to make an in-app purchase,e1x,4.2756346681813024,+,1
I know how to download and carck to full version some paid apps without paying a fee (e.g. torrent; etc.),e1x1,4.7945855471981655,+,1
Deactivate the function showing my geographical position (on Facebook; Google Maps; etc.),e3a,0.2011927313441674,-,1
Connect to a Wi-Fi network,e3b,0.38618259926919873,+,1
Block push notifications from different apps,e3c,0.12039032459816865,+,1
