C:\Users\Rgee\Google Drive\Classroom\PRC-ST1 Batch 115\Deployment\OOTO UNICEF\Datasets\ready for OOTO\preprocessed\national_15to17_preprocessed.csv,C:\Users\Rgee\Google Drive\Classroom\PRC-ST1 Batch 115\Deployment\OOTO UNICEF\Datasets\ready for OOTO\preprocessed\national_9to11_preprocessed.csv,,,
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom
Mother,a3a,2.510502354,-,1
Father,a3b,1.344285408,-,1
Step or foster mother,a3c,0.968651485,-,1
Step or foster father,a3d,1.015126052,+,1
Grandparent(s) or other relatives,a3e,5.9875575,-,1
Siblings (including half; step or foster siblings),a3f,1.732774345,-,1
My spouse or partner (including boyfriend/girlfriend),a3g,2.6855626,+,1
My child or children,a3h,0.002502399,-,1
Parents (or relatives) of my spouse or partner,a3i,0.075902537,-,1
I live in a foster home or children's home,a3j,,,1
I live alone,a3k,,,1
Someone or somewhere else: please state____,a3l,0.823072463,-,1
I am a school student,a4a,42.02346402,-,1
I am a student in college,a4g,15.68785052,+,1
I am attending training in technical/vocational course,a4h,11.55090113,+,1
I do paid employment,a4c,14.82229588,+,1
I do unpaid work,a4d,1.247950143,+,1
I am looking for work,a4e,5.427395165,+,1
I help out at home,a4f,29.22575031,+,1
I am currently in a vacation,a4i,4.058800509,+,1
Schooling,a5,11.53527659,+,1
null,b1,700.629925,-,15
Age,b3,22.99806034,+,1
At school or college,b6a,107.2700672,+,1
At home,b6b,45.63597856,+,1
In the home of friends or relatives,b6c,33.9714002,+,1
In a public place (for example; in libraries; cafés; computer shops),b6d,0.125309301,+,1
When I am on my way somewhere (e.g. on the street; in a bus or car),b6e,25.09040291,+,1
When I am somewhere by myself,b6f,73.86352034,+,1
PisoNet,b6g,5.513405429,-,1
A mobile phone that is not a smartphone,b7a,34.09897802,+,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b7b,81.08864498,+,1
A desktop computer,b7c,0.630049883,+,1
A laptop or notebook computer,b7d,10.05435796,+,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b7e,0.324365607,+,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b7f,1.046913057,+,1
A mobile phone that is not a smartphone,b8a,9.879713079,+,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b8b,41.99462602,+,1
A desktop computer,b8c,4.107002925,+,1
A laptop or notebook computer,b8d,0.098265631,-,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b8e,0.602108318,+,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b8f,0.321663279,-,1
I use a postpaid plan (i.e.; with contracts),b9a,1.201729586,+,1
I use freeWIFI (at home; in school; coffee shop or cafés; malls; etc.),b9b,55.35772796,+,1
I pay for internet I use (e.g. in a cybercafé or internet cafe; PisoNet),b9c,0.032624892,+,1
I use prepaid offers (e.g. GOSurf; GIGASurf; etc.),b9d,122.335189,+,1
null,b10a,55.05745214,+,1
My parents,b10b1,30.7997756,-,1
My siblings,b10b2,2.401060779,-,1
Relatives,b10b3,0.427282953,+,1
Friends who are the same age as I am,b10c1,62.76073791,+,1
Friends who are older than me,b10c2,0.150831143,+,1
My teacher,b10d,0.867051469,-,1
Others,b10e,5.77E-05,-,1
Hours,b11,83.56817607,-,11
Hours,b12,124.4270422,-,11
null,c1,2.680983693,-,1
null,c2,0.049430819,+,1
I learned something new by searching online,c4a,13.80774648,+,1
I used the internet for schoolwork,c4c,44.12049185,+,1
I looked for information about work or study opportunities,c4b,39.53942934,+,1
Checked maps,c4c1,7.93452229,+,1
I looked for information about the place I want to go visit/eat,c4c2,40.4217554,+,1
I looked for resources or events about my local neighbourhood,c4d,10.24239302,+,1
I got involved online in a local organisation or charity,c4f,5.769020505,+,1
I used the internet to help somebody else,c4g,13.06626654,+,1
I used the internet to talk to people from places or backgrounds different from mine,c4e,27.35949035,+,1
I looked for the news online,c4h,73.82424162,+,1
I discussed political or social problems with other people online,c4i,31.53890592,+,1
I got involved online in a campaign or protest,c4j,0.106131875,+,1
I signed a petition online,c4k,1.323916104,-,1
I used the internet to join a civic; religious or political group,c4l,6.157735966,+,1
I posted videos or music created by someone else,c4o,10.09921265,+,1
I created my own video or music and uploaded it to share,c4m,12.20496631,+,1
I created a blog or story or website online,c4n,3.480857166,+,1
I created my own artwork; designs and illustrations and uploaded them on the internet,c4o1,1.579565013,+,1
I used instant messaging [insert local examples e.g. Viber; WhatsApp],c4r,17.02836584,+,1
I visited a social network site (e.g.; Facebook [add local examples]),c4p,70.45251856,+,1
I helped someone else who needed or wanted to go online,c4t,15.88921065,+,1
I talked to family or friends who live further away (e.g. by Skype; Viber; FaceTime),c4q,19.06444363,+,1
I commented on the updates that friends or family have put online,c4u,84.48311515,+,1
I re-posted or shared a social media post online,c4t1,51.62425046,+,1
I showed my friends or family something that I saw online,c4v,25.27157589,+,1
I visited a chatroom to meet new people [insert local examples],c4w,19.19049841,+,1
I watched video clips (e.g. on YouTube [insert local examples]),c4x,6.003556397,+,1
I played online games alone,c4y,15.60889504,-,1
I played games with other people online,c4z,10.65362747,-,1
I listened to music online (by downloading or streaming),c4bb,27.30893609,+,1
I watched my favourite TV shows,c4cc,1.562421776,+,1
I joined a fan site (of a celebrity or popular band),c4cc1,15.03661553,+,1
I posted photos or comments online (e.g. on Facebook or a blog),c4gg,61.72329973,+,1
I looked for health information for myself or someone I know,c4ee,27.08401586,+,1
I participated in a site where people share my interests or hobbies,c4ff,24.05891737,+,1
I browsed for things to buy,c4hh,24.59028125,+,1
I checked out what things cost by looking online,c4hh1,27.71482733,+,1
I have sold an item online,c4hh2,2.068436639,+,1
My mother or father (or step/foster mother or father),c6a,25.6276491,+,1
My brother or sister (or step/foster/half siblings),c6b,50.41313989,+,1
A friend around my age,c6c,125.7905913,+,1
A teacher,c6d,25.70050452,+,1
Another adult I trust,c6e,23.12274253,+,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c6f,32.14584519,+,1
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c6g,25.72108804,+,1
A relative or friend who is an OFW (overseas Filipino worker),c6g1,21.87997546,+,1
Someone else,c6h,21.94521104,+,1
My mother or father (or step/foster mother or father),c7a,21.73920018,+,1
My brother or sister (or step/foster/half siblings),c7b,66.22675493,+,1
A friend around my age,c7c,153.0149871,+,1
A teacher,c7d,16.29921944,+,1
Another adult I trust,c7e,29.58232335,+,1
